Categorie;Email
Openbare Ruimte;Ik woon op de Van Woustraat 89. In de straat zelf zijn geen mogelijkheden om fietsen te parkeren. Daardoor ben ik genoodzaakt mijn fiets te plaatsen in de Sint Willibrordusstraat. Dit vind ik geen probleem. Wel vind ik het een probleem dat daar ook geen fietsenrekken staan. Voorheen stond er een klein rek, maar deze is maanden geleden verwijderd en er is geen nieuwe voor in de plaats gekomen. Nu probeer ik mijn fiets aan 1 van de palen met verkeersborden vast te zetten maar hier is ook vaak geen ruimte. Daardoor ben ik genoodzaakt mijn fiets op de stoep neer te zetten en is het riciso veel groter dat mijn dure, net nieuwe fiets wordt gestolen.Meerdere fietsenrekken plaatsen of andere faciliteiten zodat fietsen veilig op slot en ergens aan vast kunnen worden gezet.
Openbare Ruimte;Ik heb jaren in Amsterdam gewoond en het is een prachtstad. Nu woont alleen mijn vriendin nog in Amsterdam en heb ik moeten verhuizen tbv werk. Savonds probeer ik vaak bij mijn vriendin langs te gaan maar tegenwoordig is dat haast onmogelijk met de parkeertarieven die jullie hanteren. De boete heb ik aan mijzelf te danken maar jammer dat de binnenstad alleen nog maar van de rijken is.
Basisinformatie;Op de Kometensingel van af nr182 tot aan de maanstraat is het wegdek en de stoep erg aan toe hier en daar vallen er gaten en de stoep is zo slecht dat ouder oversteken die het weten anders struikel je.Er rijden div gemeente voertuigen langs en volgens mij horen die hier melding van te maken of ze zijn blind.<br /><br />Wij hopen dat hier nu eens wat aangedaan wordt want de binnen straten van Tuindorp zijn jaren terug gedan en aan de Kometensingel is al jaren niets gedaan.en die is er slecht aan toe.
Parkeren;Parkeervergunning is veel duurder geworden dit jaar maar er is nu bijna niet meer te parkeren i.v.m. de Hallencomplex.Plekken voor Vergunninghouders maken, of kunnen parkeren in de parkeergarage van de Hallen.
Openbare Ruimte;Sinds een half jaar wordt de voorzijde van het pand gebruikt als verzamelplaats voor huisvuil. Er wordt onvoldoende gebruik gemaakt van de ondergrondse containers.Meneer ziet graag een strikte handhaving van het woongebied.
Openbare Ruimte;Het structureel niet ophalen van grof vuilJa
Openbare Ruimte;Dear,<br />I have received the 'Kennisgeving van ambtshalve vermindering gcombinieerde aanslag 2015' of 60 EUR, which means for 3 months.<br />I however moved already into a new flat, which I share with 3 more people, on 28-02-15. I also cancelled my apartment by the end of Jan (1 month notice). Please see documents attached. Therefore, the money I should pay is 40 EUR (for 2 months) instead of 60 EUR.<br />I just transferred the 60 EUR, but am looking forward to receive the 20EUR back on the following account number A. Zmacinskaja, 0438526031.<br />Kind regards,<br />Anna ZmacinskajaPer e-mail
Basisinformatie;Meneer Vardon (Conservatorium-hotel) heeft op 15-4-15 een aanvraag ontheffing voor openingstijden en geluidsvoorschriften ingediend. Meneer heeft met de Gemeente gebeld en toen is doorgegeven dat hij op 16-4-15 uiterlijk bericht zou krijgen. Op de website staat tevens ook dat de volgende dag bericht wordt gegeven. Omdat meneer op 16-4-15 niksh eeft gehoord heeft hij viermaal teruggebeld naar 14020. Daar is alle vier de keren niet gelukt om hem door te verbinden met Stadsdeel Zuid - afdeling vergunning overig. Als de medewerker belde kreeg diegene te horen dat de collegas van deze afdeling al'naar huis waren. Dit was bij het vierde belletje om 16:42.Meneer zsm informeren met de uitslag voor de aanvraag.
Openbare Ruimte;Helaas ben ik mijn rijbewijs verloren. Na op de site te hebben gekeken, heb ik gebeld naar 14020 om te vragen waarvoor de extra verificatie kosten nodig zijn (44 euro extra!) de persoon aan de telefoon kon dit helaas niet duidelijk krijgen en vroeg mij dit t vragen aan de balie.Zo gezegd zo gedaan. Het meisje aan de balie gaf mij aan, dat dit kosten zijn van RDW 'zij vinden dat mensen zuiniger om moeten gaan met belangrijke documenten! ' Ik heb haar gevraagd of ik hier bezwaar tegen kan maken. Dit was mogelijk. Wat mij verbaasd is dat als ik contact opneem met het RDW zij mij duidelijk maken dat dit kosten zijn die de gemeente zelf bepalen..Nogmaals contact opgenomen met 14020. Jongeman begreep mijn verbazing en gaf duidelijk uitleg waarvoor de kosten zijn. 'verificatie van mij als persoon..' Wat ik bij mij had vanmorgen om mijzelf te identificeren. Paspoort, Kopie oude rijbewijs. NB:in november 2014 moest ik mijn rijbewijs verlengen dus waarschijnlijk staat alles gewoon in het systeemWat ik graag zou willen is mijn geld terug en ik wil graag weten waarvoor ik die 44 euro extra moet betalen? En als die reden gegrond is waarom zo een hoog bedrag?? Waarom is het bij de paspoorten en IDkaarten, wel afgeschaft? <br />
Openbare Ruimte;Het parkeren bij het ziekenhuis Olvg is even duur als het parkeren op strata wat voor mij niet te begrijpen is als je er van uit gaat dat een bezoek aan het ziekenhuis een noodzakelijk iets.Ik wil dat de parkeertarieven in de parkeergarage van het olvg voor bezoekers van het olvg verjaardag worden.<br />Het betalen van 36 euro omdat we een dag en nacht moeten waken bij onze moeder vind ik onaanvaardbaar.
Basisinformatie;Klant is boos vanwege de verhoging van de kosten van het parkeer abbonement, terwijl in haar buurt niet of nauwelijks parkeerplekken zijn te vinden. <br />De klant vindt tevens dat de verhogongen de afgelopen jaren buiten proporties zijn.Rekening houden met de minima en zorgen dat er niet allen een verhoging plaats , maar ook nieuwe plekken faciliteerd.
Belasting, Werk en Inkomen;Vanwege verhuizing heb ik mij ingeschreven op mijn nieuwe woonadres. Dit heb ik gedaan in het stadsdeel nieuw west. Omdat ik nog studente ben, krijg ik dan een uitwonende studie omdat ik niet meer bij mijn ouders woon. Ik ben samen met de hoofdbewoner van het adres waarop ik woon gekomen, de hoofdbewoner heeft de machtgingsformulier ondertekend. twee weken nadat ik me heb ingeschreven op mijn adres, heb ik een brief van jullie ontvangen met het volgende: inschrijving op nieuwe adres kan niet worden doorgezet omdat de baliemedewerker heeft doorgegeven dat ik niet kon aantonen wie op het adres woonde en ik per direct vroeg naar de uitwonende beurs. De door mij bovengenoemde punten, zijn niet ter sprake geweest. Ik wist exact wie op het adres woonde, de hoofdbewoner heeft alleen de ID's erbij gepakt zodat ik de namen exact kon overschrijven, verder vroeg ik alleen naar mijn postadres omdat ik geen brieven meer bij mijn ouders wil ontvangen.op 29 Januari is er een huisbezoek geweest (om te controleren of ik daadwerkelijk om het adres woon) alles zou hierna in orde worden gebracht. Tot op heden is het nieuwe adres niet verwerkt. Ik ben in de maand december 600,- euro uitbetaald door DUO( uitwnende beurs) omdat ik nog steeds niet sta ingeschreven op mijn nieuwe adres heb ik een onterechte studie-schuld. Ik wil dat de gemeente mijn nieuwe woonadres met terugwerkende kracht doorzet, zodat ik geen schuld meer bij DUO heb.
Basisinformatie;Op de kruising Czaar Peterstraat<wbr />/ Oostenburgergracht<wbr />/ Cruqiuskade staan drie paar verrkeerslichten oorverdovend te ratelen bij rood en groen licht op een manier dat het nog zo'n 400-500 meter alle kanten op te horen is. Behalve overlast voor alle omwonenden ook zeer verwarrend voor blinden.Vriendelijk doch zeer dringend verzoek al die rateltikker uit dan wel een flink stuk zachter te zetten. Dank.
Openbare Ruimte;ik wil een afspraak maken om een nieuw paspoort aan te vragen, maar het formulier accepteert geen afspraakdatum op safari, ipad en firefox en chrome<br />windows heb ik nietzo snel als mogelijk oplossen
Belasting, Werk en Inkomen;Mevrouw wil een klacht indienen tegen de medewerkers die vandaag bomen in haar straat hebben gesnoeid. Deze medewerkers waren erg onbehouwen volgens mevrouw.  <br /><br />Toelichting: onder de bomen staan grote ronde plantenbakken van mevrouw en die hebben zij verplaatst zodat zij de bomen konden snoeien. Hier heeft mevrouw geen moeite mee maar toen ze klaar waren hebben zij de bakken willekeurig teruggeplaatst en dit vindt mevrouw vervelend aangezien zij op leeftijd is en zelf niet in staat is op de grote bakken op de juiste volgorde terug te plaatsen. Zij heeft dit vervolgens aan de medewekers gevraagd die aangaven dat ze blij moest zijn dat zij haar bakken hadden verplaatst.Nee
Basisinformatie;betreft beeindiging uitkering. Contact met Dhr. D. de Jong (toegewezen klantmanager) gaf aan dat uitkering is stopgezet vanwege (onterechte) uitschrijving Dienst Basisinformatie. Ik kan aantonen dat ik bijtijds de gevraagde informatie bij de dienst Basisinformatie heb aangeleverd, is vervolgens daar kwijtgeraakt. Hersteld (met terugwerkende kracht) per 18 december 2014. Tevens zouden er twee brieven zijn afgeleverd op het adres waar ik niet meer ingeschreven stond, en de brief waarbij de uitkerings beeindiging werd bevestigd. Alleen de laatste is door mij ontvangen, hoewel deze onjuist was geadresseerd: Sumatraplantsoen 7, zonder toevoeging van letter D. Dit ( en ook eerdere ervaringen hiermee) doet vermoeden dat de twee eerdere brieven ook onjuist waren geadresseerd, helaas werd ik niet in de gelegenheid gesteld  dit te controleren in mijn dossier.Nee
Openbare Ruimte;Ik stond nog geen 10 seconden stil in een laden en lossen vak met het gevarenlicht van mijn auto aan. Ik liep bij mijn auto weg terwijl en nog iemand in de auto zat te wachten. 5 seconden later stond er een auto van de handhaving naast mijn auto die mijn auto klemzette. Nu kom ik 5 seconden later weer terug met het geen wat ik moest ophalen. En ik wordt zeer inhumaan behandeld door de medewerker die in de auto zat. Verder stond er nog geen 5 meter verderop een audi A5 midden op de weg geparkeerd die niet werd aangesproken of een boete kreeg. Nu ben ik er vol van dat ik als jongere met toevallig een pet op wel wordt aangesproken. Dit komt op mij over als discriminatie en voel mij ook zeer geintimideerd hierdoor.Boete intrekken
Belasting, Werk en Inkomen;In de Lanzarotestraat geld een parkeerverbod buiten de parkeerplaatsen. Auto's parkeren hier op straat en belemmeren hierdoor het verkeer en de in en uitrit. Meneer heeft vaak gebeld over dit probleem maar handhaving is maar 1 keer langs geweest om te bekeuren. De laatste keer dat handhaving langskwam wilde zij geen actie ondernemen omdat het volgens hen om te veel auto's ging. Meneer heeft aangegeven dat hij een klacht in ging dienen waarop de handhaving medewerker zei dat meneer hem chanteerde.<br />Vorig jaar heeft meneer al een klacht ingedient waarop meneer telefonisch van handhaving teruggekoppeld kreeg dat zij geen tijd hadden voor deze werkzaamheden en andere prioriteiten hebben. Meneer is hier erg ontevreden over. Meneer wil nu dus niet door handhaving gebeld worden nav zijn klacht.Elke dag komen handhaven bij de Lanzarotestraat en dat handhaving het werk gaat doen waarvoor zij betaald worden.
Openbare Ruimte;De openbare ruimte voor mijn deur wordt NIET schoongemaakt, terwijl ik de Woningcorporatie er al 3 jaar maandelijks E.12.80 voor betaal. Ik heb hun herhaaldelijk gevraagd, maar zij houden vol dat dit gedeelte niet door hun wordt schoongemaakt, maar ik moet er wel voor betalen.  De Gemeente Amsterdam moet toch schoongehouden worden ?misschien met de Woningcorporatie gaat spreken.
Openbare Ruimte;gisteren gebruik gemaakt rond 11.00 van de P&R faciliteit op Sloterdijk. Bij terugkomst om 19.00 ur heb ik mijn parkeerkaart ingevoerd in de blauwe automaat. Deze gaf een bedrag aan van €12,60. Ik heb daarna mijn OV chipkaart tegen het venster gehouden maar er gebeurde niets. OOk niet toen ik de OV chipkaart van mijn vrouw tegen het venster heb gehouden. Wij hebben die dag Amsterdam bezocht met lijn 12 naar het centrum en deze tram hebben we ook weer terug gebruikt. Volgens mij had ik dan korting moeten ontvangen bij afrekening.<br />graag uw advies.<br />Ik kan de parkeerkaart zelf niet meer tonen omdat deze is opgegeten door het apparaat vd slagboomHet teveel betaalde parkeerbedrag terugbetalen
Openbare Ruimte;Het grasveld dat parallel ligt aan de eastonstraat (kruising lelylaan <wbr />/meer en vaart) word aan de kant van de lelylaan netjes onderhouden, maar aan de kant van de woningen totaal niet, een tijd geleden was er hele erge storm, de takken die naar beneden zijn gekomen worden niet weggehaald, nu is de herfst begonnen en  ligt het vol met bladeren dit hoopt op en is nu erg aan het stinken, maar aan de kant van de lelylaan worden wel de takken en bladeren verwijderd, hoe komt dit?bladeren en takken tijdig verwijderen, en dit ook regelmatig doen net als aan de andere kant van het veld dat grenst aan de lelylaan.
Openbare Ruimte;UPC heeft het alleenrecht in Amsterdam, daardoor geen alternatief.UPC wijzen dat de zenders erop blijven. Klant heeft nu geen toestemming gevraagd om zenders eraf te halen. UPC moet ook verantwoording afleggen aan d gemeente.
Belasting, Werk en Inkomen;MIjn fiets met duur kinderzitje is weggeknipt door de gemmente op de armeense brugniet zo heel snel fietsen wegslepen de gemeente is over ijverig dit is heeel vervelend
Openbare Ruimte;Dit is een klacht aangaande geluidsoverlastDe omvang van de geluidsoverlast verminderen!
Belasting, Werk en Inkomen;Ik had gebeld en gesproken met Mevr. Els Pikal zij had contact opgenomen met mijn inkomensconsulent en die had aan Mevr. Pikal doorgegeven dat ik niets hoefde te doen omdat dit pas ingaat per 1 Juli 2015.<br /><br />Vervolgens heb ik toch een lager inkomen gekregen heb vervolgens weer gebeld met mijn Inkomensconsulent Mevr. G Roosblad en zei dat ze het voor mij ging uitzoeken(26 Januari) en zou mij binnen een week terugbellen(Uiterlijk 02 Februari).<br /><br />Dit is niet gebeurd en heb zelf gebeld op 3 Februari waarin ik niet netjes te woord ben gestaan door Mevr. G. Roosblad.<br /><br />Zij wist allereerst niet waar ik het overhad en moest nog een keer mijn verhaal doen vervolgens gaf ik aan dat zij mij zou terugbellen.<br /><br />Mevr. G Roosblad haar worden waren letterlijk naar mij toe 'Ja ik zou u bellen en nu?'<br />Dus ik ja en nu?A. Haar erop aanspreken en excuses maken die ik overigens niet heb gehad.<br />B. Dat dit zo snel mogelijk word uitgezocht waarom ik een lager inkomen heb gekregen binnen een bepaald termijn.<br />C. En ik wil een andere inkomensconsulent begrijp niet waarom ik Mevr. G. Roosblad heb voorheen had ik Mevr Abdelmoula die mij prima beviel. Zij was vriendelijk,beleefd en hield zich aan de afspraken. Kan Mevr. Roosblad nog van leren!!!!!
Openbare Ruimte;er is geld gestolen uit potjes FibuStoppen met Fibu
Openbare Ruimte;Ik heb deze klacht ook bij pro rail neegelegd. Zij hebben mij verwezen naar Julie.<br />Het gaat over de roltrappen achterin buiten Centraal amsterdam. Die roltrappen gaan naar boven en beneden naar de bussen naar amsterdam noord en Marken etc.<br />De roltrappen gaan veelste snel naar beneden.<br />Ik ben een jonge meid van 32 maar durf gewoon niet de roltrap af omdat het te snel gaat. Dus kun je na gaan als je ouder bent.<br />Ik ga iedere dag met de roltrap op station lelylaan en die gaan daadwerkelijk stuk langzamer.De roltrappen minder snel laten gaan.
Openbare Ruimte;In de nacht van 5 op 6 december ondervonden wij op hemelsbreed misschien 2 km afstand overlast van het Technofeest Pandemonium, dat in de Sporthallen Zuid plaatsvond. De overlast duurde tot 3 uur in de nacht.. De overlast bestaat vooral uit lage frequenties van het geluid, die je zowel hoort als voelt.Een feestje is prima, maar het is best te vermijden dat op zo'n afstand overlast ontstaat door nauwkeurige aanwijzingen betreffende het aantal decibellen, ook uitgesplitst naar frequentie. U zult waarschijnlijk niet zoveel klachten binnenkrijgen, maar dat wil niet zeggen dat er niet heel veel mensen last hadden. Helaas is dit ook niet de eerste keer. Bij de vergunning zou ik adviseren duidelijker richtlijnen omtrend geluidsoverlast te eisen en deze vervolgens ook te handhaven.
Belasting, Werk en Inkomen;Ik heb al diverse malen een melding gemaakt dat de straatverlichting bij de ingang van Polsbroekstraat defect is. Telkens krijg ik een afmelding maar de verlichting is nog steeds defect. <br /><br />Inmiddels doet paal 907 , Sleewijkstraat 25 het ook nietDe verlichting nu eens zsm maken, dit geeft een onveilig gevoel.
Openbare Ruimte;Park and Ride We hebben met 4 personen gebruik gemaakt van uw regeling. We hebben de regeling goed doorgelezen en op de website van Ajax gekeken of er gespeeld werd in de Arena, dan geldt het goedkope parkeertarief niet. We hebben onze auto in de parkeergarage Arene geparkeerd, vier kaartjes GVB in de blauwe automaat gekocht en daarmee zijn we naar Paradiso gereden. En later op de dag ook weer terug. Dichtbij de auto besloten we een hapje te eten voordat we terug reden naar Limburg. Komen we in de parkeergarage willen € 1: betalen parkeertarief aan de rode automaat, scannen de openbaar vervoerkaart en wat blijkt €24,50 het volle tarief. Er is niemand meer in de garage om te reclameren vandaar de klacht via de mail.€23,50 terug ontvangen, onterecht betaald. We hebben met openbaar vervoer van en naar de Arena gereisd en er was geen evenement. Dat zijn de voorwaarden op uw site.
Openbare Ruimte;In 2013 en 2014 is er een kwijtschelding gevraagd voor combi aanslagen en verdere gemeentelijke belastingen voor mijn moeder S.Yurdatapan. Alle nodige documenten zijn toegestuurd naar de afdeling kwijtschelding namelijk naar mevrouw R.Asruf, medewerker DGBA.<br />Helaas hebben wij vanaf een bepaalde moment geen antwoorden kunnen ontvangen op onze mails, en verder ook geen antwoorden op onze aanvragen kwijtscheldingen terwijl mijn moeder recht daar op heeft.<br />Nu wordt er onterecht beslaggelegd op haar uitkering.<br />Dit beslaglegging moet gelijk gestopt gezet worden omdat zij op bijstand niveau is. Zij kan namelijk moeilijk rondkomen.Nee
Basisinformatie;Fiets is weggehaald uit de fietsflat op 02-04-2015. De fiets was echter in het rek geplaatst en met ketting aan het rek (metalen stang) vastgemaakt. Daarmee voldeed het aan de voorwaarden van plaatsen. Waarom is deze alsnog weggehaald naar het fietsdepot? Hoe lang mag een fiets daar staan, want stond nu slechts enkele uren?Duidelijke borden plaatsen wat wel en niet mag, want het is nu niet duidelijk. Eventuele markering plaatsen met locaties waar geen fietsen mogen.
Parkeren;Bij aankomst in Amsterdam World Fashion Centre bleek dat het  P&R parkeren was afschaft in heel de stad maar langs de snelweg en in de stad zelf hangen nog wel P&R borden!<br />Voor de parkeerlokaties en<wbr />/of gemeente is dit wel een lucratieve business dat je het pas ontdekt als je door de slagbomen bent...bij WFC koste het ons 2euro20 voor twee minuten parkeren!!!<br />Schandalig dat jullie bezoekers en toeristen zo uitbuiten.de borden weghalen waarop de P&R lokaties worden aangegeven en uiteraard onze 2,20 terug
Parkeren;In onze binnentuin (lutmastraat, tweede van der helststraat, karel du jardinstraat) staat een gebouw dat sinds kort een nieuwe eigenaar lijkt te hebben. We hebben vernomen dat deze er een parkeergarage van maakt (Parkeerplaatsen worden al te koop aangeboden op Funda bij woningen Karel Du Jardinstraat 33).<br />Van een parkeergarage verwacht ik veel overlast in de vorm van geluid van auto's die in en uitrijden (het is een enorm gehorig en slecht geisoleerd gebouw), uitlaatgassen en met name ook van eventuele afzuiginstallaties. Dit wil ik niet in de anders zo rustige binnentuin.<br />Daarbij heb ik vernomen dat er een nooduitgang komt naar een van de tuinen. Dit lijkt mij ongewenst, omdat er dan ineens toch meer mensen toegang hebben tot onze afgesloten binnentuin.<br />Ten derde maak ik me zorgen over de manier van verbouwen van het pand en de brandveiligheid. Het gebouw is met houten platen dichtgetimmerd en o.a. de dakgoten zijn verwijderd (dit geeft bij regen ook wateroverlast in de tuinen).Ik heb begrepen dat Dr. Hammouch inmiddels meerdere klachten over dit onderwerp heeft ontvangen. Ik wil me daar graag bij aansluiten en ik hoop dat er goed bekeken wordt of dit allemaal wel volgens vergunningen gebouwd wordt en of het uberhaupt wel mag, een parkeergarage in een geluidsgevoelig, slecht geisoleerd gebouw in een rustige binnentuin.
Belasting, Werk en Inkomen;Waarom is het fietspad over de Louis J. Welterbrug (verbindt Rudi Bloemgartensingel met Kortewater), opengesteld voor autoverkeer ?<br /><br />Alle andere bruggen in de MAP zijn voorzien van ijzeren paaltjes zodat daar alleen fietsers en bromfietsers erdoor kunnen.<br /><br />Vooral 's avonds leidt het tot levensgevaarlijke situaties als het (sluip)-autoverkeer, vaak met hoge snelheid, over het fietspad rijdt naar Kortewater en v.v. <br /><br />Iedere avond laten vele tientallen mensen hun (ook ondergetekende) hond uit, waarbij vermeld, dat de groenstrook langs het verzorgingshuis De Aak (Hogeboomspad) een losloop terrein is.Zo snel mogelijk terugzetten van bovengenoemde paaltjes. Ook bij de ingang van Kortewater naar het bewuste fietspad is een paal verwijderd.
Openbare Ruimte;Meneer heeft een klacht over een Cition medewerker op straat .Meneer vroeg naar een parkeerautomaat en werd niet serieus genomen en kreeg alsnog een parkeerboete. Meneer is onheus behandeld.Meneer wilt dat deze medewerker aangesproken wordt op zijn gedrag.
Openbare Ruimte;Al maanden zijn jongeren overlast aan het veroorzaken in <br />Tegenover de Alkmaarstraat ligt een groot grasveldje met twee picknicktafels. De troep wordt achtergelaten waardoor ongedierte en ratten ed op af komen. Volgens bewoners dealen ze daar. Deze tafels steken ze ook in de fik. Tot 's avonds laat zijn ze daar stennis aan het schoppen. Politie is al enkele keren 's avonds langsgereden.De tafels mogen weg, want dit geeft alleen maar overlast.<br />
Openbare Ruimte;Deze week is de site 'Buitenkunst' van de gemeente gelanceerd. Een geweldig initiatief is verpest door talloze halve<wbr />/onduidelijke foto's. Triest werk afgeleverd, zonde van het geld.De hele pagina 'Vrije Tijd - Buitenkunst herzien en misschien de sitebouwer ontslaan.
Openbare Ruimte;De melding openbare ruimte MORA-0237530 heb ik onlangs gedaan omdat er (heel vaak) grofvuil ligt op verkeerde tijdstippen en plekken. Het grofvuil ligt er meer dan 48uur later nog steeds. Dat terwijl er in de Gibraltarbuurt een team actief is waar ook gemeente en politie in deelneemt, die als speerpunt heeft het oplossen van het afval probleem in deze buurt.<br />Nu vraag ik me af waarom er na een melding niet direct actie wordt ondernomen. Als dat nl wel gedaan werd zouden meer buurtbewoners meldingen (blijven) doen.<br />Daarnaast vraag ik me nog af of deze meldingen uberhaupt worden doorgestuurd naar ons wijkteam.<br />Duidelijker communiceren wat er wordt gedaan maar deze meldingen zodat je weeet dat je de melding niet voor niets doet en dat je dus serieus wordt genomen wanneer je een klacht indient. <br />De klachten doorspelen naar het buurtteam. En als je zo een melding vaker doet, het buurtteam contact laten opnemen met de melder om te kijken of er meer overlast is. (Pro actief)
Openbare Ruimte;Geen kraanwater tijdens ADE.
